Plant/Fungus,Flower,Fruit,Evergreen,Spawning Habitat,Region(s),Special
African Milk Barrel,Early Summer-Late Summer,-,Yes,Subtropical Desert,Africa,Poisons player when broken by hand
,,,,,,Spikey
African Milk Tree,Late Spring - Summer,-,Yes,Arid Tropics,Africa,Poisons player when broken by hand
,,,,,,Spikey
Albanian Spurge,Late Winter - Spring,-,Yes,Mediterranean Climate,Europe,Poisons player when broken by hand
Algae (Cyanobacteria),-,-,Yes,Cosmopolitan,All Regions,Aquatic
Algae (Green),-,-,Yes,Cosmopolitan,All Regions,Aquatic
Algae (Red),-,-,Yes,Cosmopolitan,All Regions,Aquatic
Aloe Vera,Spring,-,Yes,Desert Mountains,Asia,
Angel’s Trumpet,Early Summer - Autumn,-,Yes,Tropical Rainforest Highlands,Americas,"Three Varieties: Orange, White, and Pink"
Angel Wing Cactus,Spring - Early Summer,-,Yes,Tropical Desert Midlands,Americas,Spikey
Arpophyllum Giganteum,Late Winter - Late Spring,-,Yes,Tropical Rainforest,Americas,Epiphytic
Artist’s Conk,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Beefsteak Fungus,-,-,-,Temperate to Tropical Hardwood Forest,"Americas, Africa, Europe",Epiphytic (Fungus)
Birch Polypore,-,-,-,Boreal & Temperate Savanna and Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Bird of Paradise,Late Autumn - Spring,-,Yes,Warm Temperate Savanna and Hardwood Forest,Africa,
Bitter Oyster,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Black Spleenwort,-,-,Yes,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic
Blood Lily,Late Spring - Early Summer,-,No,Warm Temperate Savanna and Hardwood Forest,Africa,
Bluebell,Spring - Early Summer,-,No,Temperate Hardwood Forest,Europe,
Blue Cereus Cactus,Late Spring - Early Summer,-,Yes,Tropical Desert Midlands,Americas,Spikey
Boletus,-,-,-,Boreal & Temperate Hardwood Forest,All Regions,Fungus
Bonatea,Spring - Summer,-,No,Warm Temperate Savanna and Hardwood Forest,Africa,
Boston Fern,-,-,Yes,Subtropical & Tropical Rainforest,All Regions,Epiphytic
Bracken Fern,-,-,No,Cosmopolitan Arid Savanna to Hardwood Forest,All Regions,
Bridal Veil Stinkhorn,-,-,-,Tropical Rainforest,"Americas, Africa, Asia",
Brush,-,-,No,Cosmopolitan Grassland & Savanna,All Regions,Generic Plant
Burdock,Early Summer - Autumn,-,No,Boreal & Temperate Savanna & Hardwood Forest,"Asia, Europe",
Camas Flower,Spring - Late Spring,-,No,Boreal Savanna,Americas,
Caralluma,Early Spring - Spring,-,Yes,Subtropical & Tropical Desert,"Africa, Asia",
Chaga,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Chanterelle,-,-,-,Boreal to Subtropical Forest,"Americas, Asia, Europe",Fungus
Chicken of the Woods,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Chlorophos Foxfire,-,-,-,Subtropical Rainforest,"Americas, Asia",Fungus
Chives,Late Spring - Summer,-,No,Temperate Forest Margin,"Americas, Asia, Europe",
Clover,Spring - Summer,-,No,Boreal to Subtropical Forest,All Regions,
Common Reeds,Late Summer - Autumn (Plume),-,No,"Cosmopolitan, Near Water",All Regions,Semi-Aquatic
Creeping Charlie,Spring - Summer,-,No,Boreal to Subtropical Forest,Europe,
Cup Plant,Early Summer - Summer,-,No,Temperate Lowland Savanna,Americas,
Cycad,-,"Early Summer - Autumn (Cones, both Male & Female)",Yes,Tropical Rainforest,"Americas, Asia, Africa",Dioecious (has separate Male and Female plants)
Daffodil,Late Winter - Early Spring,-,No,"Subtropical & Tropical Grassland, Savanna, and Forest",Europe,
Desert Rose,Spring - Late Summer,-,Yes,Tropical Desert,"Africa, Asia",
Devil’s Club,-,Summer - Late Summer,No,Boreal Rainforest,Americas,Spikey
Devil’s Fingers,-,-,-,Boreal to Subtropical Forest,Asia,Fungus
Devil’sTongue,Spring,-,,Subtropical Rainforest,Asia,
Dryad’s Saddle,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Duckweed,-,-,Yes,Cosmopolitan,All Regions,
Dune Grass,-,-,No,Temperate Beaches,Americas,
Egyptian Autumn Crocus,Early Winter - Late Winter,-,No,Tropical Arid Lowlands & Midland,"Africa, Asia, Europe",
Elephant Grass,-,-,Yes,Subtropical & Tropical Grassland,Africa,
Entoloma,-,-,-,Boreal & Temperate Rainforest,Americas,Fungus
European Bedstraw,Summer - Early Autumn,-,No,Temperate Hardwood Forest,"Asia, Europe",
Field Horsetail,-,Early Spring - Late Spring (Spore producing stalks),No,Boreal & Temperate Lowlands,"Americas, Asia, Europe",
Fireweed,Early Summer - Early Autumn,-,No,Boreal Savanna & Woodland,"Americas, Asia, Europe",
Freesia,Early Spring - Late Spring,-,No,Subtropical & Tropical Savanna & Forest,Africa,
Garlic Mustard,Spring - Early Summer,-,No,Boreal & Temperate Hardwood Forest,"Asia, Europe",
Giant Hogweed,Early Summer - Summer,-,No,Temperate Woodland & Woodland Margin,Europe,Poisons player when broken by hand
Gifboom,Spring - Early Summer,Late Summer - Autumn,Yes,Subtropical & Tropical Desert Highlands,Africa,"Poisons player when broken by hand, Spikey"
Heather,Summer - Late Summer,-,Yes,Boreal to Subtropical Desert to Forest,Europe,Two Varieties: White and Pink
Hedgehog Lip Orchid,Early Spring - Early Summer,-,Yes,Tropical Rainforest,Asia,Epiphytic
Hibiscus,Summer - Late Summer,-,Yes,"Savanna to Forest, Tropical (Hawaiian), Subtropical (Chinese, Okinawan), Warm Temperate (Swamp)","Americas (Hawaiian, Swamp), Asia (Chinese, Okinawan)","Four Varieties: Chinese, Okinawan, Swamp, Hawaiian"
Holly,Late spring - Early Summer,Autumn - Early Winter,Yes,Temperate Forest,"Americas, Europe","Can be trimmed for a decorative texture (using shears), and then trimmed again for a short variant."
Hosta,Summer - Late Summer (Halcyon),-,No,Temperate Hardwood Forest,Asia,"Three Varieties: Halcyon, Patrion, Vulcan"
,"Late spring - Early Summer (Patriot),",,,,,
,Late Summer - Early Autumn (Vulcan),,,,,
Indian Pipe,-,-,No,Temperate Hardwood Forest and Rainforest,"Americas, Asia",
Indigo Milk Cap,-,-,-,Temperate and Subtropical Forest,Americas,Fungus
Iris,Late Spring - Summer,-,No,Temperate Savanna & Forest Margin Highlands & Riverbanks,"Americas, Asia, Europe",
Jack in the Pulpit,Spring - Early Summer,-,No,Temperate Hardwood Forest,Americas,
Lady Fern,-,-,No,"Boreal, Temperate, & Subtropical Hardwood Forest","Americas, Asia, Europe",
Lavender,Early Summer - Late Summer,-,No,Subtropical Grassland & Savanna,"Asia, Africa, Europe",
Leafy Undergrowth,-,-,No,Cosmopolitan Forest,All Regions,Generic Plant
Leopard Orchid,Late Spring - Summer,-,Yes,Subtropical Rainforest,Africa,Both a ground plant and epiphytic
Small Lily Pads,-,-,Yes,"Cosmopolitan Lakes, Swamps & Rivers",All Regions,Aquatic
Lion’s Mane Mushroom,-,-,-,Temperate Hardwood Forest,"Americas, Asia, Europe",Epiphytic (Fungus)
Lobster Claws,Late Spring - Early Autumn,-,Yes,Tropical Rainforest,Americas,
Loose Flowered Orchid,Spring - Early Summer,-,No,Temperate Forest Margin Lowlands,"Asia, Europe",
Lotus,Early Summer - Autumn,-,No,Temperate & Subtropical Savanna & Forest Fresh Water,Asia,Aquatic
Low Leafy Undergrowth,-,-,No,Cosmopolitan Forest,All Regions,
